addr,OutCnt,OutAmount,OutValue,OutTransFee,InCnt,InAmount,InValue,InTransFee,label
0xdf1dcf94d240798442a681f291321b63d1f0afa3,16603.0,25735.0,383977.64,205725.41267867704,259.0,702.0,0.3952475124378108,1419.958510638978,0
0xb0f720baa5bd1715897d4790a59f5c7aa1377d79,8333.0,367254.0,662607.2395,50171.128,8246.0,364399.0,662607.2395,49585.53316666667,0
0x1a50be5dc5dd721f3e337816b23002c9c5e4b812,5253.0,5253.0,1751.36,42328.19,11200.0,11200.0,0.0,88202.07,0
0x8cf409db94e93ea627368eb0a0c5f8760eacbbfa,14868.0,38487.0,0.0,26569.52866017266,0.0,0.0,0.0,0.0,0
0x6fad73936527d2a82aea5384d252462941b44042,7148.0,7148.0,0.0,25984.735,7148.0,7148.0,0.0,25984.735,0
0x3789b894c4f99ecb9d6b3b18f1e25fbefeb4d643,14083.0,14473.0,0.0,26842.11,0.0,0.0,0.0,0.0,0
0x751a86a2506bbf30e04fdb493017bebde5c0fef9,13803.0,13803.0,0.0,143589.21142857143,9.0,9.0,0.0,993.75,0
0x91d9aaf2198dd83a21086f86c64627ccaa495c5a,13067.0,13118.0,0.0,1195.7605011168955,583.0,904.0,0.0,54.33398404215766,0
0xe01b350a05cebfcf27120154fd373b4a2701ac7c,13525.0,13525.0,0.0,40855.99,0.0,0.0,0.0,0.0,0
0x5f407507f754f6043179f7f161aafbd11e2f818d,6601.0,6601.0,0.0,17600.25,6729.0,6729.0,0.0,77905.415,0
0x0b9020d4e32990d67559b1317c7bf0c15d6eb88f,4470.0,8628.0,0.0,27234.17,8446.0,253877.0,0.0,40143.64,0
0x7ec316256b72be7759a8062c244a7e520eaae8b9,6106.0,24925.0,0.0,2998.045,6106.0,24925.0,0.0,2998.045,0
0x61cc669f3eb0dc4c34206b99bba094f1022a8ca5,10603.0,10603.0,155163.98,49826.63,1560.0,1560.0,44.9,3960.9,0
0x10cdcb5a80e888ec9e9154439e86b911f684da7b,5867.0,6469.0,0.0,18893.36,5867.0,6469.0,0.0,18893.36,1
0xca989ed7a8e33a65f00c823c2b51ce835ecc679b,11363.0,11363.0,0.0,1704.1099999999997,155.0,155.0,0.0,30.259999999999987,0
0x10d8bec072631d50282bab213dc9da219a3797a7,9101.0,9110.0,0.0,707.3815249406209,2213.0,2248.0,0.0,189.9528235792477,0
0x25df2ee0e2e33f87f7a3dbd8245f49bcf9b7070d,410.0,440.0,0.0,693.785,10742.0,13890.0,0.0,29350.685,0
0xb7c9dd37b741d0c81a6971126f3ea9bc084e6e44,10942.0,10942.0,0.0,17847.93,0.0,0.0,0.0,0.0,0
0xf4617b57ad853f4bc2ce3f06c0d74958c240633c,10760.0,10768.0,33.76,21705.7,21.0,69.0,351.445,185.91819015041852,0
0x3b9a790dfc910447d6557001f96b997c1efb01f8,10722.0,10722.0,0.0,14765.4295,0.0,0.0,0.0,0.0,0
0xb8db9ad0e016854675120f03643ab8d41f797862,9016.0,9016.0,0.0,53834.84,1663.0,1663.0,0.0,9626.88,0
0x8f80831c794835e3d79c5380092523e3c0e049ff,10251.0,30940.0,0.0,19436.989337991352,148.0,656.0,0.0,385.8,0
0x7d510f661f490482fbff45275b00a82f5f69f784,5497.0,10379.0,0.0,13787.78,4728.0,8519.0,0.0,12517.24,0
0x48193776062991c2fe024d9c99c35576a51dade0,2495.0,2524.0,0.0,7782.228333333333,7711.0,7788.0,0.0,26390.22021772371,0
0xe83c0200e93cb1496054e387bddae590c07f0194,663.0,1123.0,0.0,5223.0,9414.0,14365.0,0.0,140091.73,0
0xe138e0cffb8f29d486782e373339eea4032d41f9,10000.0,10000.0,0.0,137.7492393055302,0.0,0.0,0.0,0.0,0
0x676dcc06192528687c18fb0e94fa0b78fda83ea1,9978.0,9980.0,0.0,12223.91,3.0,20.0,0.0,11.07,0
0x6e1f8de550d6d9a8d85d2ebe9f996d4515727919,9748.0,10406.0,0.0,435994.48,81.0,279.0,0.0,911.95,0
0xe011ee098980f6aff534f9952d9d7a6dd729500e,4844.0,25756.0,0.0,2405.64,4844.0,25756.0,0.0,2405.64,0
0xba5ebaf3fc1fcca67147050bf80462393814e54b,4719.0,182171.0,10138357.105,181822.6275,4821.0,184721.0,513654838.175,222873.8125,0
0xb0daf58c699c39e41291fdede3bf01380640e53a,9405.0,9405.0,914140.13,27525.81,0.0,0.0,0.0,0.0,0
0x79f66307d999e82ed8650ae3005eaf2aa4b64d81,5660.0,5850.0,0.0,9615.232592667697,3624.0,4309.0,0.0,314.99161622887954,0
0x12ba4ff056df99049b5346e1366885db743c97b6,9200.0,9200.0,0.0,62798.24,0.0,0.0,0.0,0.0,0
0xe13422f4f06c82f6e0d7ffb666251fdfd05ed638,9095.0,9945.0,1378471.000008,178172.29,55.0,320.0,0.0,381.11,0
0xe23a7741a5e9500f7a1de4b246d1f7f29f81605f,9079.0,9079.0,0.0,35008.24,12.0,12.0,0.0,194.8,0
0xafff04fbfe54cc985e25493a8f9d7114012d6d6f,3760.0,5200.0,0.0,17823.75,5117.0,13604.0,0.0,33488.986666666664,0
0xbe6c98afc0c8cc40d98a9f1777653e28d6598efd,8780.0,8780.0,0.0,14734.63,10.0,10.0,0.0,7.0200000000000005,0
0x171ab540b9cb730626db91f648e2b09eb5363484,8356.0,9475.0,768597.935,45189.48,345.0,1092.0,338.07669258306737,4019.8092665735376,0
0xfbc3b76a206f03f1edbf411f280444cd3fd9c7c8,6145.0,6145.0,0.0,37694.92,2479.0,2479.0,0.0,10771.493869346734,0
0x8f5d29d58993fae6603a07aae7bd767c98ba45c3,6002.0,6009.0,0.0,569.9264950152511,2515.0,2568.0,0.0,158.3398265388992,0
0xc4a59cfed3fe06bdb5c21de75a70b20db280d8fe,4251.0,164358.0,330132828.935,102106.405,4251.0,164358.0,330132828.935,102106.405,0
0x0a690b298f84d12414f5c8db7de1ece5a4605877,7962.0,8616.0,582865.34,53876.513333333336,395.0,902.0,119127.2349240566,5346.295636561181,0
0xdebbc3691d42090d899cafe0c4ed80897a7c9d6a,4002.0,4964.0,0.0,202669.45,4002.0,4964.0,0.0,202669.45,0
0xa9248a0935eb476cfe2f286df813a48d06ffd2e2,2758.0,3246.0,438981.545,10767.35,5220.0,5238.0,0.0,8455.265,0
0x69d62b87d953009308ad4a1f538102e27ab78df5,1877.0,1878.0,11698.535,2603.51,6091.0,6107.0,3679.015,9734.815953625824,0
0x3a7dc718eaf31f0a55988161f3d75d7ca785b034,6.0,6.0,0.0,6.8725000000000005,7784.0,8970.0,22814.6125,74758.3625,0
0xb1a2d16634c014124299882dd37843ba005d2b2b,0.0,0.0,0.0,0.0,7706.0,7706.0,0.0,9457.13,0
0x89c885614abcedaf012330e652a764e1289cda81,7545.0,7545.0,0.0,359468.6,74.0,158.0,0.0,522.43,0
0x73ca66030675b64ea7d8dbdc9084aa29ee4d102c,7008.0,7008.0,0.0,916.0199999999996,611.0,611.0,0.0,92.18999999999998,0
0x00a103267a22971375c3c37d6e1f1bdfb548e946,961.0,1384.0,0.0,3017.46,6596.0,8697.0,0.0,31661.8,0
0xa298d5abff9ed6c32c9794e64ed14394c39ab6cc,0.0,0.0,0.0,0.0,7551.0,7551.0,0.0,82568.13,0
0x55a0e991015d9d00067f6dfca8c0e1bebef68cd5,7516.0,7516.0,0.0,52422.3,2.0,2.0,0.0,317.78,0
0x851900af0017f14d5103f5bf9095074bdde45f69,3475.0,161663.0,211784.3718611111,20899.04408333333,3527.0,161125.0,211784.3718611111,21444.562416666668,0
0xeeb310c1ff4637f1782666a8c173f97dc70fc0d0,6905.0,8791.0,0.0,24594.59,9.0,36.0,0.0,50.96,0
0x7f8e6c3e07172fb7a029f5c5be17d8f5128322b6,3332.0,136277.0,392259.3546111111,17446.466,3478.0,149145.0,587370.1946111111,19146.740166666663,0
0x05a56db5f286a099b12ac78d9713e55ad42eebb4,6673.0,6734.0,2613322.23,83715.95,7.0,31.0,0.0,156.65,0
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,2886.0,4426.0,1041188.8867619048,38224.09646031746,3783.0,4447.0,1304865.7672262655,24851.138597566056,0
0x8aa4ca3f3d45a94cfce35ca6ddcf8e40d89220bb,6376.0,7048.0,0.0,7729.269999999999,15.0,62.0,0.0,23.45,0
0x2f6109eb8753a77ab3f1dc85780bee8eb211815d,6346.0,6346.0,0.0,63.89995972793966,0.0,0.0,0.0,0.0,0
0xdf7f126b7270ba17c7b9964188e9020eb410096d,4330.0,88678.0,0.0,13679.872333333333,1499.0,85253.0,0.0,3650.033,0
0xc2e76b4c0e3cfef8a69bbd82e99a5bf4c828e987,5467.0,80479.0,872961.465,73963.29453089081,330.0,586.0,63430.575298507465,2315.9856734629034,0
0xab3e5a900663ea8c573b8f893d540d331fbab9f5,5356.0,6074.0,478542.025,99792.724,422.0,1138.0,26934.830840336133,6940.0817097133295,0
0x7a9fe22691c811ea339d9b73150e6911a5343dca,4139.0,4882.0,4507.04,29690.22555555556,1483.0,3555.0,126765.76,11761.12097832136,0
0x8f20914995adb5c8ced34d54da14be1a9aaccf62,5591.0,5591.0,12201.91,19039.08,5.0,5.0,140.26999999999998,59.010000000000005,0
0xf120007d00480034faf40000e1727c7809734b20,413.0,829.0,10238.766297619048,3198.3728571428574,5176.0,5176.0,0.0,3167.22,0
0x5fb80e2a64fd0dbc6d3062a8ccce0971f9ab954b,5454.0,5742.0,351002.585,38991.34,126.0,488.0,0.0,1427.89,0
0xada018db7bcb5854b3c44a0490c07d41e8b96766,59.0,71.0,0.0,16.275502291910232,5468.0,5580.0,0.0,401.15963063744886,0
0xccc42cf5d6a2f3ed8f948541455950ed6ce14707,2688.0,114752.0,2267335.5672345,53444.96408333333,2799.0,124492.0,621455.6867678667,66817.96933333333,0
0x28462739c3eb65a571bf92689e8257c806bd275d,2733.0,4472.0,0.0,11915.765,2733.0,4472.0,0.0,11915.765,0
0x0511926471cdcf840c8145c1fbcbb0a8c495c1a9,2434.0,2434.0,143516.37,7606.75,2679.0,2679.0,143516.37,8563.5,0
0x3b2c63db7df502bf8c6d7becedd1928230d0d8a0,351.0,351.0,9378.52,2715.28,4521.0,4521.0,0.0,11815.2,0
0x89e629faa18f8f0ee2031f875289cdb6a7d37dce,4854.0,5820.0,0.0,7695.01,8.0,38.0,0.0,7.855,0
0x7e4b853709c774ef7321f5684ab1da1c78caabc7,0.0,0.0,0.0,0.0,4846.0,4859.0,0.0,303.29229374381686,0
0x7a2d6476cd687937e981a4e9644970f6224c6acc,1914.0,3482.0,0.0,8088.62,2725.0,5191.0,0.0,12079.51,0
0xfa0b8feca230818439afe23a0da24579338cbda3,1373.0,1854.0,0.0,5213.74,3248.0,4132.0,0.0,45175.38,0
0x2a52d32b2fb09492dde1ca2c36e1c69531664461,4575.0,5469.0,540.07,9593.05,27.0,37.0,0.0,61.02120098965705,0
0x144d196bf99a4eca33afe036da577d7d66583db6,1620.0,2172.0,0.0,6800.7,2960.0,6566.0,0.0,13525.91,0
0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,0.0,0.0,0.0,0.0,4513.0,4721.0,0.0,10455.45,0
0xaa513cbc63c11d2a2d38e0742f076666f4bf107e,2235.0,2487.0,626.17,16866.22,2235.0,2487.0,626.17,16866.22,0
0x623fc4f577926c0aadaef11a243754c546c1f98c,2273.0,2357.0,61312.1,19161.84273148148,2175.0,2429.0,19240.98,6417.567721297413,0
0x8779616897864b84ebedee45f8004e681d8bc18e,2219.0,2219.0,60775.420000000006,6204.79,2219.0,2219.0,60775.420000000006,6204.79,0
0xe372ed8d188517ef4d4bc464c0c068d2002e2903,2180.0,2180.0,174341.37,8829.04,2180.0,2180.0,174341.37,8829.04,0
0x8c2e8dbd7304d163b121490f47d30a0f8906107e,4254.0,4254.0,80.89,57645.71,0.0,0.0,0.0,0.0,0
0xcbae0f609ad04ca5392e77a55c85a75189d7550d,4202.0,4762.0,131158.1,10572.585,36.0,206.0,0.0,395.42,0
0x52dc4dfadf0730e63ccf733a7e64a2d04250bbe7,3457.0,3457.0,0.0,54729.65,715.0,715.0,0.0,2762.06,0
0x5b4130c81c3ae213e4cdfe32d568bbaa2fe80c26,2143.0,2166.0,0.0,3858.623333333333,1991.0,2014.0,0.0,6824.073333333334,0
0x7ba2e14c0329aa727a41c801a1fc35d46213f983,1060.0,1060.0,3363.860316017316,2673.22582034632,3031.0,3031.0,1440.09,3130.34,0
0x7b1f4cdd4f599774feae6516460bccd97fc2100e,2036.0,65921.0,89800942.085,110577.67,2036.0,65921.0,89800942.085,110577.67,0
0xd6a984153acb6c9e2d788f08c2465a1358bb89a7,2.0,2.0,443.42,45.36,4023.0,4115.0,0.2279396984924623,7528.627445858299,0
0x9cc8b09bb009b35c6d2469058a0e0ea68eaf3f6a,4009.0,4009.0,0.0,2399.69,5.0,5.0,0.0,18.24,0
0x0716e152ebaf0468b7282bb6a277c78747e6848e,4000.0,4000.0,0.0,52.4395919097904,0.0,0.0,0.0,0.0,0
0x65ffe5a603b9dac9bca330bf387979701374c96c,2029.0,2037.0,0.0,14345.99,1946.0,1958.0,0.0,6184.678800000001,0
0xaa1cc5543c558524c3db21d219fcee58af054f2c,2035.0,3216.0,0.0,16437.533830734043,1862.0,3449.0,820.47,8105.320404852854,0
0x95b2271039b020aba31b933039e042b60b063800,2768.0,126440.0,0.0,16035.810476190476,1048.0,47696.0,0.0,4780.557380952381,0
0x38e6b922545cd931030ad7fb4c00409a04b213c4,3785.0,3835.0,0.0,54712.58,18.0,109.0,0.0,981.25,0
0x61592a6f682bbabfd743aa7596ee269e7448212c,3068.0,3182.0,22256.873,19886.697,710.0,1440.0,6641.747588359788,2894.6711904839144,0
0xd72f2c03cabfc2205aa05db695f21b859e500ca0,858.0,868.0,0.0,2217.0016666666666,2758.0,2848.0,0.0,6404.998333333333,0
0xaf1d9033c8fdbbeb1d206d016ba468a0a448d04b,296.0,296.0,0.0,731.3860476190476,3310.0,3310.0,0.0,11713.443952380952,0
0x484df8d48818a95fb1e4fc570260826c3269e7e5,78.0,6428.0,0.0,48.86,3345.0,259315.0,0.0,1408.745,0
0x1e63326a84d2fa207bdfa856da9278a93deba418,3333.0,3333.0,12991.256200258573,21497.406943345268,1.0,1.0,0.0,14.15,0
0xe3328e75e9a286550c55d0f80213f96951ffb47b,3306.0,3318.0,57358.66,27533.04,3.0,3.0,0.0,21.86,0
0x881f65b123f51efcfbd6828e66ffdb87054a9736,24.0,31.0,0.0,166.43749367088608,3254.0,3268.0,0.0,204.64518269529023,0
0x0633e36952d2f85675a340984baa532949793c7d,923.0,982.0,0.0,8887.947333333334,2313.0,2969.0,2694.87,19206.86,0
0xe6a451b2b47e054c8cd37cddaab65aceea61f0cc,3143.0,3159.0,666.5999999999999,8180.019999999999,6.0,28.0,0.0,53.28,0
0xfb8c66c5e4b104c79a1383312a1b52d29b7e8b0b,1538.0,1687.0,281204.0200005,10914.408333333333,1545.0,1694.0,281204.0200005,10937.973333333332,0
0x88315564d9ba67357f3644c76340168ae904b924,2901.0,2901.0,0.0,46130.87,111.0,153.0,2.278333333333333,354.96,0
0x6d699fd31abcb651f2f49a4526160f9281076d69,2594.0,2594.0,0.0,10033.5,413.0,413.0,0.0,1146.92,1
0xa26e0f1bb4e7dcfccc3b15c7cb16c39533026671,3003.0,3003.0,0.0,96.70300161088224,2.0,2.0,0.0,6.05,0
0xcff8b97bd9c075d93822285ecd4a56a536926b6d,2912.0,2912.0,173306.73,19587.95,12.0,44.0,0.0,39.92,0
0x12e6265a96b75711f7c743bc58925e181031c792,0.0,0.0,0.0,0.0,2918.0,2919.0,0.0,8165.34,0
0x167539702b5501aadd9b0b85e53532fd57cc71a9,1414.0,1471.0,23024.604,3532.8976666666667,1489.0,1897.0,117003.556,4889.036760167171,0
0x596de192d354b9de5619bc5f5ecba5761036ce77,1449.0,1449.0,19863.08,2767.51,1449.0,1449.0,19863.08,2767.51,0
0xff98f34ae0e3009a21ebbb32af4e96537d4e22e9,2678.0,2790.0,0.0,13814.99,202.0,664.0,0.0,269.68,0
0x8b947d8448cffb89ef07a6922b74fbabac219795,1435.0,72818.0,0.0,61475.015,1435.0,72818.0,0.0,61475.015,0
0x9056d15c49b19df52ffad1e6c11627f035c0c960,0.0,0.0,0.0,0.0,2851.0,2890.0,0.0,6785.06661691198,0
0x4535ea2e0f58f34881349b9e9d641e3f01dff6e2,825.0,825.0,0.0,60.94036730270191,2021.0,2050.0,0.0,173.7120339658565,0
0xc6c27061e71c347d528b9dd286422a45e9e206d9,2727.0,2728.0,0.0,4069.865,99.0,135.0,0.0,628.4036389684815,0
0x497833ed78601b6b62b705b92de3784479511403,542.0,542.0,0.0,1236.64,2279.0,2279.0,0.0,8203.67,0
0x5f5cd91070960d13ee549c9cc47e7a4cd00457bb,1431.0,61481.0,226076.02,80598.755,1370.0,59366.0,8776084.370000001,112761.965,0
0xeea89c8843e8beb56e411bb4cac6dbc2d937ee1d,0.0,0.0,0.0,0.0,2799.0,3202.0,0.1942786069651741,59835.14925768652,0
0x8f3eee5d939b07bdfc26a4470e6a40513b4e44da,1789.0,1789.0,0.0,16967.82,1000.0,1000.0,0.0,7083.44,0
0xb41e364d85302aa142c85983743bd82a1af6624a,2714.0,2814.0,0.0,5297.415,62.0,216.0,0.0,190.465,0
0xdc463f26272d2fe8758d8072ba498b16a30aaac2,2556.0,3087.0,7468.304999999999,11136.941666666666,69.0,80.0,26789.717904761903,596.3794960190154,0
0x38b49b879562046412a62c02a88dc867b9afd9c1,2522.0,3694.0,280051.05,26211.1,75.0,383.0,0.0,608.91,0
0xfc523f3fec1ca24f21f55400b5d0aa998e30a56e,2572.0,2813.0,31.5,6274.6,11.0,42.0,0.0,51.57,0
0x7d65138a005820bdfef71973d6aabc88700621c8,2560.0,152372.0,0.0,1820.3108333333328,20.0,1014.0,0.0,38.37916666666666,0
0x7b635fe7d5d2ffcd93ecb6a65dbe107058b011d8,2554.0,2554.0,956.2,4963.9,17.0,71.0,0.0,37.46,0
0x566d8e1c46ee6711b7770e0d7c9559fa503c3516,2148.0,2444.0,415195.46,39166.935,402.0,679.0,250.1,3125.915,0
0x380f997b11b062b4ed20d341da2730c91492e1f0,2486.0,2823.0,482900.89,34142.09,46.0,82.0,2286.02,351.0209615384616,0
0x3feb0c5a1151f1627d8bde47b161fa6463fbbfc9,2518.0,2673.0,3097.57,9811.33,7.0,42.0,0.0,51.48,0
0x222a98c8f56c412a3d5f5369a8f8cbe495f77c30,2510.0,3422.0,0.0,5365.15,8.0,40.0,0.0,672.74,0
0x9f5c88719f4b181aa109aa8f2e24def7b40762ea,245.0,247.0,0.0,1912.9527314814816,2223.0,2234.0,18147.8,17235.824157442312,0
0xb1f629cb1b6841e5ac98aa5b1cffab1b6c88d8b7,2430.0,2431.0,0.0,36757.12,37.0,94.0,0.0,172.17850026609392,0
0xd5c98c4e77c5e79d81349cd3c5a5695811f5fd70,2456.0,3178.0,392.64,3778.62,2.0,12.0,0.0,11.74,0
0xbf91459018a2526c745979466b09dbd1d239a41d,471.0,630.0,41927.26190476191,7306.859523809524,1946.0,2296.0,209.38583333333327,12836.999166666666,0
0x5a79e65f48e07a6751cef24428d4a9917f822190,1355.0,1589.0,0.0,7928.91,1040.0,1070.0,427.93,4002.12903930131,0
0x192f212de38d73fa536ff57e613d03071383dc43,464.0,24026.0,0.0,1372.21,1922.0,113302.0,0.0,7294.66,0
0xfd12253e3b944a52958a535e27bb8747deb74165,2031.0,5448.0,315407.28,33796.91,348.0,2069.0,0.0,4981.5,0
0x19f918b5352fe3316564f5245942c57d78d6cf9d,0.0,0.0,0.0,0.0,2361.0,2953.0,0.0,45408.36,0
0x26677a2b1cc77351954dc5adaf2b862ddf3bc1c8,2267.0,2267.0,0.0,259.7099999999999,91.0,91.0,0.0,19.14,0
0x8869e7b48e33c5f1fffb0f15f6084c7b438d6371,1964.0,2145.0,269969.52,42727.59,379.0,950.0,0.0,10787.16,0
0x71996799126fb9b8d020dbbfd351290bf3b02aa4,384.0,5932.0,0.0,673.115,1942.0,1960.0,0.0,3272.4,0
0xb618aacb9dcdc21ca69d310a6fc04674d293a193,1908.0,1999.0,414155.45,7465.932666666667,361.0,544.0,36558.25720208696,3720.068614785628,0
0x3756ec6aa5cea4ab42cb749c77a7e0ee13d647b2,2234.0,2709.0,0.0,18436.55,0.0,0.0,0.0,0.0,0
0x217a7d0ac6573b0f013e12f92b6d5b250fa15d97,976.0,976.0,0.0,6065.625,1248.0,1248.0,0.0,15538.185,0
0xfa21807ede5486c83d665812525ff44c5b72f3ed,630.0,630.0,0.0,1214.9733333333334,1591.0,1591.0,0.0,3903.9366666666665,0
0xdc9c7a2bae15dd89271ae5701a6f4db147baa44c,1091.0,40075.0,76884686.07,61429.485,1091.0,40075.0,76884686.07,61429.485,0
0x6d1c18bccde60142af23a3f8aa6f5f59c532a675,0.0,0.0,0.0,0.0,2170.0,2231.0,0.0,4741.15,0
0xbec0be01ac3f6b83eb0bc1f0aeed9a7c34c873ef,942.0,950.0,0.0,6947.551928156984,1205.0,1205.0,0.0,84.82969965389047,0
0xb94a3dba6d69b58b55f38021515dbca0eea03628,2002.0,2002.0,0.0,262.9799999999999,101.0,101.0,0.0,18.81,0
0x9a5aaf145d11dd36747ca3c14422d9714a3de366,885.0,894.0,36099.99180555555,4903.785462962963,1206.0,1217.0,28676.212462577583,12047.096575900268,0
0xd4dcdaaa97e3891aa8e9842a328ed739d7af136e,2053.0,2072.0,0.97,28310.02,12.0,29.0,1.840001,79.58,0
0xb5a7e5d70ee25cc4d22e3714c9057393f21241e4,2020.0,2042.0,4797.345,3195.425,44.0,87.0,138.48,441.4916613903905,0
0xfd2958ca98da25ee32d76aec036acef8f3ee1811,2055.0,2077.0,0.0,7840.83,3.0,16.0,0.0,10.43,0
0xe3b3f17dbfa12fac0f75b2d12b05c5759a531b46,2002.0,2002.0,0.0,574.66,54.0,54.0,0.0,7.863599999999997,0
0x88b4c344e972b3d21e4da8d34207a973e0dda59d,802.0,823.0,0.0,480.7159914644226,1247.0,1338.0,0.0,187.27965563327885,0
0x77edfa75eab19b772466a4affcf5555b7532badf,1052.0,45116.0,555172.0933383333,11880.1125,992.0,44207.0,185446.8133658333,13779.1025,0
0xce90a7949bb78892f159f428d0dc23a8e3584d75,5.0,5.0,443.42,61.77,2038.0,2080.0,28490.070001,3308.830195208864,0
0x69ec1eb2bd52292d93c3607e5dbc7c7a5bb5242b,2003.0,2042.0,391.63999999999993,14365.47,32.0,79.0,815.85,187.27,0
0xd408edf30ddeddea353accb987198129e95b9207,1852.0,2048.0,0.0,4744.01,179.0,425.0,0.0,1201.37,0
0x9f3fffa2ee1af83ee2a9a4da87909a77d051d055,2020.0,2020.0,0.0,273.7799999999999,0.0,0.0,0.0,0.0,0
0xa458c2a1cd454d8eaaa8d8b7233e7d540a3d32d8,2002.0,2002.0,0.0,195.45,2.0,2.0,0.0,5.94,0
0x46916dfdb43dcd161469f4d66f2801d20ca38cd5,2002.0,2002.0,0.0,140.68999999999986,1.0,1.0,0.0,2.79,0
0x435c66f181a763a7bd7868671283eead39e2808f,2002.0,2002.0,0.0,138.67999999999995,1.0,1.0,0.0,2.78,0
0x02ecbb78c942751d557edfa0d8070ad5ff2b8e9f,2002.0,2002.0,0.0,137.88999999999996,1.0,1.0,0.0,2.78,0
0x58fc47df39fde8dcd079916c114fdf1a927b9fe0,2002.0,2002.0,0.0,137.87999999999985,1.0,1.0,0.0,2.78,0
0xe9d2896003be2406f0d652e8781bc005d32d7368,2002.0,2002.0,0.0,143.67,1.0,1.0,0.0,2.85,0
0x3083f888a3b9fd334dbe230c9aee5555da754f04,1944.0,2355.0,0.0,18661.35,58.0,290.0,0.0,578.06,0
0xc8fc1a96ca0121cbaf8e3cb3f7cf6dbcd90737a8,2000.0,2000.0,0.0,291.36,1.0,1.0,0.0,7.57,0
0xfab1ac26ccf09e99092d8e9c5662899c8e5f3912,170.0,256.0,0.0,549.3,1811.0,6785.0,0.0,11686.06,0
0xced4f0838c5016b268c29e7659ad6cd360f6a3e1,1827.0,80468.0,77.665,6053.9425,154.0,6635.0,76.78333333333333,759.8512499999999,0
0xe19b13b8ef1d5ee1da1928b41a901702db006378,1928.0,2211.0,2527.14,5278.14,45.0,246.0,59.38,75.03,0
0xfa4b853069073983bc57ccc77d0c4ad50b611bac,1969.0,1969.0,778.93,6673.23,1.0,1.0,0.0,0.8,0
0xddede77cd4ca200c1a87b471b0f17ed30d15be4b,1454.0,1454.0,58912.47,13458.88,487.0,487.0,947.3,462.24365,0
0x8e42b6cd5b6a4628726ba0fbcb0742153a284fa1,1842.0,2175.0,259149.88,76557.42,90.0,372.0,0.0,2361.04,0
0x484ec62385e780f2460feac34864a77ba5a18134,1773.0,1922.0,239956.39,15709.849166666669,149.0,329.0,2442.245,1660.183840831531,0
0x42c750024e02816ee32eb2eb4da79ff5bf343d30,960.0,47721.0,0.0,94548.23,960.0,47721.0,0.0,94548.23,0
0xcf23e423cdf894b5f307096b383f9b3c6f564a15,574.0,574.0,1112.36,583.235,1345.0,1345.0,640.16,1472.9316216216216,0
0x09086a772d9e9b99380e2735bf4ff3dec3ead8f5,893.0,937.0,42.84,401.9342106754924,1024.0,1100.0,38.02,293.3845644611033,0
0x038fbfe31a113952c15c688df5b025959f589ad7,1890.0,67699.0,0.0,6413.7300000000005,2.0,18.0,0.0,14.45,0
0xe0036fb4b5a3b232acfc01fec3bd1d787a93da75,27.0,28.0,943.73,168.31,1847.0,1877.0,950.8252487329678,3962.7226877302655,0
0xfe2cd94532bd0c14167ef05e06121d77aadd82e1,582.0,1936.0,0.0,3313.35,1287.0,3585.0,0.0,5994.753333333333,0
